Index,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z
120,"-0,335","0,126","-0,051","0,244","0,388","0,029","-0,007","-0,297","-0,026","0,202","0,400","0,237","0,048","0,079","-0,155","-0,292","0,125","0,073","0,026","-0,406","-0,085"
121,"-0,349","0,123","-0,052","0,188","0,375","0,039","-0,034","-0,241","-0,035","0,146","0,398","0,240","-0,011","0,081","-0,153","-0,324","0,132","0,073","-0,039","-0,397","-0,091"
122,"-0,311","0,110","-0,055","0,140","0,361","0,040","-0,043","-0,175","-0,034","0,124","0,408","0,242","-0,006","0,095","-0,155","-0,353","0,148","0,073","-0,038","-0,405","-0,093"
123,"-0,289","0,082","-0,056","0,142","0,372","0,030","-0,040","-0,197","-0,023","0,071","0,446","0,237","-0,004","0,075","-0,152","-0,320","0,141","0,073","0,027","-0,392","-0,092"
124,"-0,286","0,066","-0,053","0,130","0,371","0,015","-0,115","-0,184","-0,009","0,073","0,442","0,227","-0,033","0,083","-0,147","-0,287","0,139","0,070","0,047","-0,423","-0,091"
125,"-0,234","0,047","-0,047","0,118","0,360","0,002","-0,122","-0,194","0,002","0,037","0,413","0,220","-0,086","0,095","-0,145","-0,259","0,126","0,067","0,053","-0,427","-0,087"
126,"-0,241","0,053","-0,037","0,123","0,326","-0,001","-0,124","-0,199","-0,001","0,031","0,427","0,215","-0,084","0,053","-0,147","-0,231","0,115","0,062","0,056","-0,402","-0,084"
127,"-0,223","0,100","-0,031","0,152","0,265","0,001","-0,075","-0,181","-0,004","0,061","0,451","0,214","-0,075","0,061","-0,158","-0,219","0,085","0,056","0,039","-0,370","-0,078"
128,"-0,218","0,052","-0,031","0,148","0,199","0,005","-0,099","-0,118","-0,002","0,121","0,429","0,211","-0,057","0,080","-0,168","-0,220","0,050","0,051","0,019","-0,356","-0,068"
129,"-0,188","0,112","-0,030","0,094","0,156","0,007","-0,119","-0,135","-0,001","0,107","0,418","0,206","-0,050","0,044","-0,177","-0,238","0,018","0,048","0,032","-0,310","-0,056"
