Index,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z
3528,"-2,291","-1,877","1,927","2,080","-2,540","-0,592","0,663","-0,075","-0,988","-2,161","0,356","1,758","1,476","2,291","0,339","-0,169","0,180","-0,076","-1,654","-0,781","0,078"
3529,"-2,276","-1,826","1,905","2,039","-2,548","-0,593","0,601","-0,081","-0,980","-2,137","0,370","1,748","1,429","2,273","0,347","-0,174","0,128","-0,079","-1,619","-0,792","0,078"
3530,"-2,295","-1,760","1,887","2,020","-2,535","-0,595","0,559","-0,120","-0,974","-2,129","0,361","1,740","1,429","2,255","0,356","-0,148","0,092","-0,082","-1,599","-0,823","0,077"
3531,"-2,276","-1,735","1,868","2,003","-2,514","-0,593","0,537","-0,125","-0,972","-2,112","0,392","1,733","1,381","2,221","0,364","-0,171","0,056","-0,084","-1,561","-0,809","0,077"
3532,"-2,271","-1,678","1,852","1,987","-2,499","-0,591","0,502","-0,130","-0,975","-2,089","0,392","1,731","1,383","2,220","0,376","-0,121","0,061","-0,088","-1,528","-0,831","0,074"
3533,"-2,243","-1,623","1,838","2,008","-2,480","-0,590","0,502","-0,127","-0,981","-2,041","0,396","1,729","1,343","2,208","0,385","-0,165","0,065","-0,091","-1,490","-0,846","0,073"
3534,"-2,279","-1,598","1,826","2,034","-2,408","-0,587","0,505","-0,125","-0,989","-2,047","0,374","1,727","1,312","2,211","0,396","-0,146","0,024","-0,097","-1,514","-0,833","0,071"
3535,"-2,210","-1,605","1,816","2,061","-2,335","-0,585","0,491","-0,157","-0,996","-1,996","0,350","1,726","1,308","2,207","0,407","-0,147","0,043","-0,101","-1,476","-0,819","0,071"
3536,"-2,214","-1,586","1,805","2,096","-2,274","-0,586","0,548","-0,188","-1,002","-2,006","0,330","1,726","1,324","2,226","0,420","-0,123","0,016","-0,107","-1,504","-0,810","0,069"
3537,"-2,209","-1,573","1,796","2,034","-2,296","-0,589","0,493","-0,177","-1,003","-2,061","0,361","1,724","1,325","2,201","0,429","-0,185","0,039","-0,111","-1,530","-0,805","0,068"
3538,"-2,180","-1,514","1,788","1,966","-2,309","-0,593","0,435","-0,148","-1,003","-2,097","0,323","1,722","1,385","2,175","0,438","-0,127","0,062","-0,112","-1,528","-0,838","0,067"
