Index,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z
1104,"-0,133","0,501","0,863","-0,219","0,068","0,976","-0,069","-0,019","0,931","-0,170","-0,007","0,986","-0,038","-1,082","0,380","-0,385","-1,042","-0,117","-0,023","0,052","1,001"
1105,"-0,125","0,507","0,854","-0,313","0,061","0,974","-0,033","-0,035","0,952","-0,198","-0,009","0,984","-0,025","-1,084","0,383","-0,357","-1,036","-0,110","-0,007","0,047","0,999"
1106,"-0,112","0,508","0,844","-0,150","0,077","0,980","-0,031","-0,028","0,950","-0,215","0,017","1,007","-0,025","-1,083","0,391","-0,320","-1,026","-0,097","-0,003","0,036","1,004"
1107,"-0,103","0,510","0,847","-0,143","0,068","0,980","0,026","-0,019","0,946","-0,202","0,029","1,016","-0,030","-1,077","0,396","-0,302","-1,022","-0,089","-0,006","0,033","1,002"
1108,"-0,093","0,504","0,861","-0,093","0,056","0,974","0,033","-0,026","0,948","-0,145","0,039","1,010","-0,027","-1,074","0,398","-0,306","-1,006","-0,082","-0,012","0,032","0,994"
1109,"-0,097","0,507","0,872","-0,110","0,057","0,993","0,027","-0,018","0,942","-0,092","0,031","0,998","-0,034","-1,069","0,399","-0,322","-1,000","-0,072","-0,020","0,035","0,996"
1110,"-0,099","0,504","0,879","-0,134","0,047","0,993","0,046","-0,021","0,942","-0,053","0,017","0,993","-0,060","-1,065","0,384","-0,374","-0,987","-0,074","-0,014","0,031","0,993"
1111,"-0,112","0,500","0,870","-0,149","0,052","0,985","0,028","-0,029","0,948","-0,049","0,023","0,979","-0,071","-1,069","0,380","-0,437","-0,952","-0,093","-0,009","0,032","0,983"
1112,"-0,128","0,495","0,854","-0,128","0,046","0,985","0,037","-0,013","0,956","-0,093","0,039","0,997","-0,081","-1,057","0,374","-0,470","-0,935","-0,093","-0,004","0,045","0,983"
1113,"-0,128","0,484","0,838","-0,115","0,034","0,984","0,058","-0,030","0,946","-0,111","0,031","1,010","-0,085","-1,052","0,373","-0,474","-0,932","-0,064","-0,007","0,044","0,980"
