Index,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z
209,"-0,264","0,023","-0,002","0,038","0,101","-0,171","0,001","-0,112","0,389","0,144","-0,127","-0,033","-0,263","-0,011","-0,062","0,327","-0,099","0,012","0,221","-0,025","-0,109"
210,"-0,184","0,006","-0,008","0,042","0,113","-0,177","-0,048","-0,157","0,389","0,201","-0,096","-0,030","-0,220","-0,044","-0,054","0,285","-0,063","0,013","0,251","-0,008","-0,106"
211,"-0,158","0,024","-0,013","0,047","0,116","-0,179","-0,077","-0,198","0,377","0,222","-0,121","-0,022","-0,163","0,000","-0,048","0,264","-0,088","0,014","0,235","-0,041","-0,103"
212,"-0,111","0,067","-0,012","0,056","0,121","-0,178","-0,092","-0,157","0,357","0,284","-0,152","-0,008","-0,151","-0,047","-0,047","0,253","-0,021","0,015","0,254","-0,067","-0,102"
213,"-0,098","0,124","-0,011","0,030","0,148","-0,175","-0,095","-0,131","0,338","0,285","-0,215","0,007","-0,161","-0,051","-0,047","0,216","-0,078","0,015","0,249","-0,100","-0,102"
214,"-0,158","0,135","-0,007","0,059","0,158","-0,172","-0,096","-0,130","0,324","0,251","-0,236","0,014","-0,212","-0,049","-0,053","0,203","-0,068","0,015","0,212","-0,092","-0,103"
215,"-0,217","0,148","0,003","0,119","0,192","-0,173","-0,079","-0,103","0,320","0,250","-0,280","0,016","-0,260","-0,015","-0,063","0,221","-0,095","0,015","0,183","-0,109","-0,103"
216,"-0,204","0,126","0,006","0,133","0,154","-0,171","-0,082","-0,101","0,325","0,267","-0,246","0,010","-0,260","-0,021","-0,065","0,216","-0,096","0,015","0,218","-0,106","-0,105"
217,"-0,223","0,069","0,008","0,111","0,184","-0,172","-0,044","-0,153","0,330","0,210","-0,222","0,007","-0,248","-0,023","-0,070","0,222","-0,101","0,015","0,205","-0,076","-0,108"
218,"-0,204","0,067","0,007","0,039","0,206","-0,169","-0,060","-0,183","0,325","0,173","-0,204","0,006","-0,231","-0,086","-0,071","0,188","-0,062","0,015","0,205","-0,043","-0,109"
219,"-0,193","0,071","0,003","0,076","0,161","-0,158","-0,030","-0,188","0,313","0,209","-0,156","0,002","-0,274","-0,126","-0,063","0,170","-0,080","0,013","0,225","-0,019","-0,106"
220,"-0,142","0,089","-0,006","0,094","0,126","-0,154","-0,025","-0,180","0,302","0,276","-0,147","0,001","-0,237","-0,115","-0,050","0,224","-0,092","0,009","0,258","-0,018","-0,103"
221,"-0,085","0,052","-0,016","0,037","0,120","-0,160","-0,088","-0,160","0,295","0,273","-0,112","0,007","-0,215","-0,071","-0,031","0,215","-0,089","0,000","0,276","0,006","-0,102"
222,"-0,034","0,016","-0,020","0,047","0,129","-0,158","-0,076","-0,171","0,287","0,334","-0,084","0,008","-0,224","-0,057","-0,020","0,165","-0,104","-0,006","0,307","0,013","-0,102"
