Index,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z
88,"0,097","-0,295","0,035","-0,128","0,065","0,223","-0,289","-0,170","0,143","0,146","0,176","0,224","-0,136","0,145","0,445","-0,018","0,121","0,121","-0,143","-0,106","0,107"
89,"0,036","-0,429","0,014","-0,036","-0,129","0,093","-0,377","-0,095","0,072","0,266","0,097","0,186","-0,144","0,311","0,493","-0,134","0,010","0,034","0,044","0,099","0,178"
90,"0,343","0,013","0,001","-0,216","-0,121","0,125","-0,333","-0,049","0,014","0,140","-0,029","0,147","-0,144","0,311","0,493","-0,060","-0,093","-0,018","-0,021","0,131","0,047"
91,"0,160","-0,063","-0,040","-0,126","-0,261","-0,032","-0,357","-0,090","0,156","0,304","-0,262","0,272","-0,066","0,224","0,339","-0,284","-0,094","0,025","0,040","0,131","0,045"
92,"0,220","-0,103","0,038","-0,139","-0,233","-0,112","-0,197","-0,069","0,293","0,130","-0,294","0,083","0,004","0,114","0,268","-0,320","-0,176","-0,077","0,040","0,071","0,059"
93,"0,038","0,015","-0,001","0,030","-0,267","-0,198","-0,115","-0,022","0,136","0,131","-0,381","-0,022","-0,041","-0,029","0,132","-0,116","-0,173","-0,224","0,040","-0,048","0,087"
94,"-0,024","0,013","0,191","-0,028","-0,319","-0,161","-0,006","0,074","0,104","-0,223","-0,258","-0,130","-0,009","-0,068","-0,193","-0,111","-0,133","-0,368","0,162","0,070","0,055"
95,"-0,084","-0,024","0,075","0,090","-0,270","-0,209","0,091","0,081","-0,009","-0,157","-0,128","-0,095","0,008","-0,156","-0,353","0,073","-0,164","-0,189","0,221","0,115","-0,020"
96,"-0,145","0,053","0,114","0,152","-0,027","-0,272","0,182","-0,125","0,024","-0,090","-0,086","-0,164","0,036","-0,302","-0,619","0,089","-0,080","-0,190","0,225","0,084","0,113"
97,"-0,145","-0,061","-0,042","0,077","0,030","-0,008","0,214","-0,170","-0,114","-0,147","-0,024","-0,181","0,104","-0,276","-0,695","0,025","-0,024","-0,177","0,282","0,055","-0,008"
98,"-0,023","-0,043","0,017","0,157","0,135","0,062","0,203","0,047","-0,080","-0,031","-0,002","-0,056","0,080","-0,213","-0,453","0,070","0,013","-0,113","0,467","0,068","0,045"
99,"-0,022","-0,004","-0,060","0,187","0,269","0,197","0,214","-0,170","-0,114","-0,027","0,057","-0,069","0,059","-0,232","-0,235","0,184","-0,094","0,042","0,765","-0,035","-0,129"
100,"0,098","-0,160","0,056","0,178","0,188","0,170","0,135","-0,180","-0,183","0,150","0,075","0,060","0,178","-0,093","-0,229","0,072","0,103","0,068","0,828","-0,022","-0,071"
101,"0,036","-0,217","0,074","0,125","0,026","0,260","0,256","0,007","-0,135","0,096","0,124","-0,017","0,025","-0,057","0,084","-0,088","0,046","0,097","0,828","-0,141","-0,044"
102,"0,097","-0,295","0,035","0,071","-0,106","-0,009","0,117","0,131","0,115","0,097","0,197","0,029","-0,003","0,089","0,350","-0,108","0,048","-0,006","0,769","-0,067","0,004"
103,"-0,085","-0,159","0,054","0,049","-0,159","-0,117","0,032","0,075","0,006","0,032","0,141","0,039","0,099","0,126","0,551","0,120","-0,038","0,055","0,589","-0,111","0,083"
104,"-0,084","-0,119","-0,023","-0,002","-0,075","-0,079","0,047","0,035","0,049","0,090","0,152","0,102","-0,015","0,148","0,457","-0,095","-0,085","0,060","0,582","-0,093","-0,109"
105,"-0,143","0,113","-0,098","0,060","-0,133","-0,063","0,141","0,005","0,161","-0,100","0,043","0,119","-0,013","0,201","0,427","-0,019","0,030","-0,060","0,225","-0,035","0,140"
106,"0,102","0,209","-0,192","0,000","-0,130","-0,052","0,067","0,040","0,132","0,019","0,050","0,185","0,004","0,114","0,268","-0,050","-0,048","0,124","0,036","-0,075","-0,032"
107,"0,161","0,130","-0,038","-0,043","0,035","0,013","0,082","-0,001","0,175","-0,101","0,130","0,224","0,033","-0,033","0,002","-0,088","0,046","0,097","-0,023","-0,002","0,016"
