movement,phase,aspect_id,aspect_name,video_id,aspect_deviation
2a_2,f1,15,Bålen placerad rakt över bäckenet i sagittalplan,059,0.5528
2a_2,f1,15,Bålen placerad rakt över bäckenet i sagittalplan,061,0.6383
2a_2,f1,15,Bålen placerad rakt över bäckenet i sagittalplan,074,0.4943
2a_2,f1,15,Bålen placerad rakt över bäckenet i sagittalplan,076,0.7484
2a_2,f1,15,Bålen placerad rakt över bäckenet i sagittalplan,091,0.4738
2a_2,f1,15,Bålen placerad rakt över bäckenet i sagittalplan,093,0.5179
2a_2,f2,1,"Bålen fälls framåt, höfter och knän böjs (flekteras)",028,0.0
2a_2,f2,1,"Bålen fälls framåt, höfter och knän böjs (flekteras)",030,0.0
2a_2,f2,1,"Bålen fälls framåt, höfter och knän böjs (flekteras)",045,0.7822
2a_2,f2,1,"Bålen fälls framåt, höfter och knän böjs (flekteras)",047,0.2145
2a_2,f2,1,"Bålen fälls framåt, höfter och knän böjs (flekteras)",059,0.3698
2a_2,f2,1,"Bålen fälls framåt, höfter och knän böjs (flekteras)",061,0.465
2a_2,f2,1,"Bålen fälls framåt, höfter och knän böjs (flekteras)",074,0.2533
2a_2,f2,1,"Bålen fälls framåt, höfter och knän böjs (flekteras)",076,0.4341
2a_2,f2,1,"Bålen fälls framåt, höfter och knän böjs (flekteras)",091,0.5456
2a_2,f2,1,"Bålen fälls framåt, höfter och knän böjs (flekteras)",093,1.0
2a_2,f3,2,Bålen fortsätter fällas framåt och höftböjningen fortskrider,028,0.0
2a_2,f3,2,Bålen fortsätter fällas framåt och höftböjningen fortskrider,030,0.0
2a_2,f3,2,Bålen fortsätter fällas framåt och höftböjningen fortskrider,045,0.495
2a_2,f3,2,Bålen fortsätter fällas framåt och höftböjningen fortskrider,047,0.698
2a_2,f3,2,Bålen fortsätter fällas framåt och höftböjningen fortskrider,059,0.9368
2a_2,f3,2,Bålen fortsätter fällas framåt och höftböjningen fortskrider,061,0.7033
2a_2,f3,2,Bålen fortsätter fällas framåt och höftböjningen fortskrider,074,0.5005
2a_2,f3,2,Bålen fortsätter fällas framåt och höftböjningen fortskrider,076,0.6426
2a_2,f3,2,Bålen fortsätter fällas framåt och höftböjningen fortskrider,091,0.6266
2a_2,f3,2,Bålen fortsätter fällas framåt och höftböjningen fortskrider,093,0.4614
2a_2,f3,3,Knäna fortsätter böjas och rör sig framåt initialt.,028,0.0
2a_2,f3,3,Knäna fortsätter böjas och rör sig framåt initialt.,030,0.0
2a_2,f3,3,Knäna fortsätter böjas och rör sig framåt initialt.,045,0.6396
2a_2,f3,3,Knäna fortsätter böjas och rör sig framåt initialt.,047,0.7526
