Index,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z
95,"0,046","-0,006","0,102","-0,205","0,025","-0,559","-0,117","0,069","-0,117","0,701","-0,156","-0,023","-0,005","-0,044","0,224","-0,120","0,113","0,014","0,815","-0,045","-0,141"
96,"0,086","-0,010","0,102","-0,238","0,042","-0,564","-0,122","0,022","-0,115","0,708","-0,152","-0,026","-0,007","-0,061","0,224","-0,137","0,160","0,016","0,872","-0,019","-0,142"
97,"0,078","-0,004","0,103","-0,212","0,060","-0,569","-0,092","-0,043","-0,113","0,696","-0,100","-0,028","-0,017","-0,064","0,224","-0,137","0,204","0,018","0,853","-0,067","-0,147"
98,"0,086","0,009","0,103","-0,193","0,037","-0,574","-0,089","-0,042","-0,114","0,681","-0,096","-0,028","-0,017","-0,071","0,222","-0,145","0,158","0,021","0,820","-0,008","-0,149"
99,"0,078","-0,015","0,104","-0,170","0,014","-0,578","-0,056","-0,056","-0,116","0,698","-0,122","-0,029","-0,032","-0,048","0,221","-0,158","0,138","0,023","0,768","0,019","-0,150"
100,"0,042","0,002","0,104","-0,196","-0,010","-0,582","-0,101","-0,014","-0,116","0,746","-0,163","-0,031","-0,036","-0,046","0,219","-0,189","0,081","0,023","0,822","0,050","-0,151"
101,"0,048","0,035","0,103","-0,228","-0,002","-0,584","-0,068","-0,066","-0,118","0,712","-0,132","-0,030","-0,056","-0,079","0,222","-0,249","0,068","0,024","0,837","0,040","-0,157"
102,"-0,010","0,063","0,109","-0,191","0,000","-0,586","-0,069","-0,060","-0,126","0,736","-0,097","-0,025","-0,060","-0,080","0,228","-0,236","0,045","0,023","0,829","0,039","-0,169"
103,"-0,066","0,035","0,118","-0,202","0,029","-0,588","-0,061","-0,048","-0,139","0,734","-0,091","-0,020","-0,115","-0,110","0,230","-0,281","0,076","0,022","0,809","0,059","-0,178"
104,"-0,086","0,074","0,124","-0,174","0,053","-0,587","-0,129","-0,061","-0,153","0,726","-0,104","-0,015","-0,079","-0,165","0,232","-0,239","0,070","0,021","0,782","0,097","-0,184"
