Index,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z
549,"-4,232","-1,864","4,899","0,643","-3,256","-1,197","-2,014","1,910","-0,836","-0,250","1,305","0,451","2,728","-5,046","-0,595","1,204","-4,793","0,132","-2,175","-6,775","-3,610"
550,"-4,698","-2,020","5,284","1,369","-3,397","-1,287","-2,109","2,171","-0,870","-0,442","1,046","0,302","5,388","-5,594","-0,540","0,719","-4,920","0,098","-2,628","-7,984","-4,796"
551,"-5,063","-2,074","5,322","1,634","-3,345","-1,005","-2,162","2,202","-0,809","-0,428","0,576","0,205","5,469","-5,751","-0,208","0,805","-4,925","-0,024","-2,983","-8,363","-5,726"
552,"-5,261","-2,645","4,280","1,982","-3,420","-0,395","-2,118","2,095","-0,655","-0,550","0,416","0,465","4,216","-4,805","0,151","1,423","-5,200","0,057","-3,067","-9,016","-6,983"
553,"-5,413","-3,216","2,984","2,078","-3,453","0,101","-2,021","1,957","-0,561","-1,405","0,299","0,222","2,833","-5,122","-0,019","1,378","-5,431","-0,608","-2,919","-9,020","-6,506"
554,"-5,372","-3,527","2,743","2,161","-3,580","0,428","-2,069","1,781","-0,573","-1,505","0,309","0,509","3,025","-5,251","0,825","1,198","-5,691","-1,215","-4,069","-9,956","-7,398"
555,"-5,530","-3,774","2,248","1,683","-3,612","0,594","-2,151","1,909","-0,894","-1,958","0,052","0,540","3,422","-4,555","2,198","1,177","-5,919","-1,374","-4,917","-10,289","-6,662"
556,"-5,996","-3,931","2,633","1,149","-3,812","0,856","-2,334","1,893","-1,167","-1,861","0,132","1,049","3,637","-4,094","3,180","1,763","-5,953","-0,866","-5,431","-10,400","-6,325"
557,"-6,337","-4,016","3,055","0,827","-3,851","0,638","-2,324","2,091","-1,321","-1,832","-0,782","1,231","5,055","-4,416","3,253","1,452","-5,495","-0,339","-6,848","-11,663","-7,697"
558,"-6,759","-4,113","3,170","0,210","-4,285","0,638","-2,383","2,085","-1,309","-2,938","-1,395","1,252","6,361","-4,003","4,372","1,375","-5,322","0,332","-8,213","-13,263","-9,720"
